NoOfWorkers,GraphClass time (s),GraphFrame time (s),Dataset
6,0.025351762771606445,0.027911901473999023,DE
6,0.06084442138671875,0.007311105728149414,ENGB
5,0.031110286712646484,0.028514862060546875,DE
5,0.04486250877380371,0.008373737335205078,ENGB
4,0.03268170356750488,0.026362895965576172,DE
4,0.03748941421508789,0.007405281066894531,ENGB
3,0.045754432678222656,0.028057575225830078,DE
3,0.04107785224914551,0.008832931518554688,ENGB
3,0.025552749633789062,0.02932000160217285,DE
3,0.04047727584838867,0.0064394474029541016,ENGB
3,0.05662941932678223,0.05172324180603027,DE
3,0.038921356201171875,0.007930278778076172,ENGB
2,0.04516458511352539,0.026668787002563477,DE
2,0.03279376029968262,0.007115602493286133,ENGB
